assign (Tree_right, Tree_SetRight_rn)
assign (Tree_left, Tree_SetLeft_ln)
assign (Tree_Insert_current_node, Tree)
assign (Tree_Insert_current_node, Tree_GetLeft_left)
assign (Tree_Insert_current_node, Tree_GetRight_right)
assign (Tree_Delete_current_node, Tree)
assign (Tree_Delete_parent_node, Tree)
assign (Tree_Delete_parent_node, Tree)
assign (Tree_Delete_current_node, Tree_GetLeft_left)
assign (Tree_Delete_parent_node, Tree)
assign (Tree_Delete_current_node, Tree_GetRight_right)
assign (Tree_RemoveRight_p_node, Tree)
assign (Tree_RemoveRight_c_node, Tree_GetRight_right)
assign (Tree_RemoveLeft_p_node, Tree)
assign (Tree_RemoveLeft_c_node, Tree_GetLeft_left)
assign (Tree_Search_current_node, Tree)
assign (Tree_Search_current_node, Tree_GetLeft_left)
assign (Tree_Search_current_node, Tree_GetRight_right)
assign (Tree_Print_current_node, Tree)
assign (Visitor_r, Tree_GetRight_right)
assign (Visitor_l, Tree_GetLeft_left)
assign (Visitor_r, Tree_GetRight_right)
assign (Visitor_l, Tree_GetLeft_left)
