vP (MyVisitor, TV)
vP (Tree_Search_current_node, MyVisitor)
vP (Tree_Search_current_node, TV_Start_v)
vP (Tree, MyVisitor)
vP (Tree, TV_Start_v)
vP (TV_Start_root, MyVisitor)
vP (Tree_Insert_new_node, TV_Start_v)
vP (Tree_Delete_parent_node, MyVisitor)
vP (Tree_Delete_parent_node, TV_Start_v)
vP (TV, TV_Start_root)
vP (Tree_Insert_current_node, MyVisitor)
vP (Tree_Insert_current_node, TV_Start_v)
vP (Tree_Delete_current_node, MyVisitor)
vP (Tree_RemoveLeft_p_node, MyVisitor)
vP (Tree_Delete_current_node, TV_Start_v)
vP (Tree_RemoveLeft_p_node, TV_Start_v)
vP (TV_Start_v, TV)
vP (Tree_Print_current_node, MyVisitor)
vP (Tree_Print_current_node, TV_Start_v)
vP (Tree_RemoveRight_p_node, MyVisitor)
vP (Tree_RemoveRight_p_node, TV_Start_v)
